,Ticker,Name,Exchange,Category Name,Country
1230,BHARTIARTL.NS,Bharti Airtel Limited,NSI,Wireless Communications,India
1247,ASHOKLEY.NS,Ashok Leyland Limited,NSI,Auto Manufacturers - Major,India
1441,AUROPHARMA.NS,Aurobindo Pharma Limited,NSI,Drugs - Generic,India
1457,AREXMIS.BO,Arex Industries Ltd.,BSE,,India
1586,SANWARIA.NS,Sanwaria Agro Oils Limited,NSI,Farm Products,India
1907,ALMONDZ.NS,Almondz Global Securities Limited,NSI,Investment Brokerage - National,India
1962,ADINATH.BO,Adinath Textiles Ltd,BSE,,India
2897,SBIN.NS,State Bank of India,NSI,Money Center Banks,India
3199,BPCL.NS,Bharat Petroleum Corporation Limited,NSI,Oil & Gas Refining & Marketing,India
3322,MBECL.NS,McNally Bharat Engineering Company Limited,NSI,General Contractors,India
3324,MAHABANK.NS,Bank of Maharashtra,NSI,Money Center Banks,India
3394,DBCORP.BO,D. B. Corp Limited,BSE,,India
3432,BOSCHLTD.NS,Bosch Limited,NSI,Auto Parts,India
3455,BHEL.BO,Bharat Heavy Electricals Ltd.,BSE,,India
3693,IDBI.NS,IDBI Bank Limited,NSI,Money Center Banks,India
5739,IRB.BO,IRB Infrastructure Developers Limited,BSE,,India
5800,DABUR.NS,Dabur India Limited,NSI,Personal Products,India
5843,TCIDEVELOP.NS,TCI Developers Limited,NSI,Real Estate Development,India
5901,NDTV.BO,New Delhi Television Limited,BSE,,India
5938,ISHITADR.BO,Ishita Drugs & Industries Ltd,BSE,,India
5978,GDL.BO,Gateway Distriparks Limited,BSE,,India
6047,DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSI,Drugs - Generic,India
6059,DPSCLTD.NS,India Power Corporation Limited,NSI,Electric Utilities,India
6082,DLF.BO,DLF Limited,BSE,,India
6128,DEEPAKSP.BO,Deepak Spinners Limited,BSE,,India
6158,DANLAW.BO,Danlaw Technologies India Limited,BSE,,India
6305,VIPULDYE.BO,Vipul Dye Chem Ltd.,BSE,,India
6310,VADIDAI.BO,Vadilal Dairy International Ltd.,BSE,,India
6354,TRIMURTHI.BO,Trimurthi Limited,BSE,,India
6371,THAKDEV.BO,Thakkers Developers Ltd,BSE,,India
6378,TATAMTRDVR.BO,TATA MOTORS LTD - DVR,BSE,,India
6397,SUPDF.BO,SUPERSTAR DISTILLERIES & FOODS,BSE,,India
6445,SHRIDINE.BO,Shri Dinesh Mills Limited,BSE,,India
6500,RADHEDE.BO,Radhe Developers (India) Ltd.,BSE,,India
6531,PROTODEV.BO,Proto Developers & Technologies Limited,BSE,,India
6533,PRABHAT.NS,Prabhat Dairy Limited,NSI,Food - Major Diversified,India
6612,NDMETAL.BO,ND Metal Industries Ltd,BSE,,India
6675,MDRNSUT-B.BO,MODERN DENIM LTD.,BSE,,India
6683,MANGALAM.BO,Mangalam Drugs & Organics Limited,BSE,,India
